Name,Comments,Sentiment,Assigned to,Likes,Number of replies,Time
Matthew Broderick,"Todd Friel is one of those false teachers that Saint Paul warned us about! As a Catholic Christian, I challenge him to a debate on the True Gospel if he is not afraid! Even though Todd's lack of Biblical knowledge is quite evident, I still love you very much in Jesus Christ our Great and Kind God and Savior, He whose Flesh is true food and Blood true drink",Against,,1,,8 months ago
King Phantom,Do not add or take away from the word of God,For,,"
    0
  ",,3 months ago
"
              Xeen Music
            ","Just a factual inaccuracy... The early church did NOT reject almost all of those books on the list he gave, in fact they considered almost all of them the same as any other book in the bible. Except for a few sole individuals around the early 4th century, they were always accepted until sometime AFTER the Reformation. Whether someone today wants to do the same is a completely different topic. But the fact is, the early church did accept almost all of them. (I think the only one on his list that no one at any time in the early church accepted was ""Jasher"", because all three of the so-called ""Jasher"" books today are definitely not the one referenced in the bible, and it an extremely late post-Christian forgery. And the real book of Jasher quoted in the Old Testament, undoubtedly is non-extant. So it wasn't available.)",Against,,"
    0
  ",,7 months ago (edited)
Anne Scholl,"Wow, seriously wrong on absolutely every level. We will be judged by our lives and doctrines.",Against,,"
    0
  ",,8 months ago
Christian Webb,Does anyone honestly think that God feels threatened by the production of the Chosen? He might be grateful that at least SOMEBODY is acting Christlike and including different kinds of Christian denominations instead of being divisive or critical of every Christian's individual interpretation of what the Bible says.,Against,,1,,5 months ago
Dave Mitchell,"As an evangelical Christian who has lived in rural Utah (over 90% Mormon) for many years and has spent over five decades studying Mormonism, I can assure that IN NO WAY do Mormons and Christians worship the same God or have the same Jesus.  The two worldviews are 180° out of phase.  They believe in a created Christ (not eternal) and a Father who was once a man.  Their soteriology is based on works, not grace.  Most of the chosen is filmed here in Utah and produced by a Mormon production company.  That is reason alone for me to reject it.",For,,"
    0
  ",,2 days ago
Lena Chandra,I did watch The Chosen when it first came out. I stopped because I thought it was too western/American (theJewish culture is more eastern than western). Then I realized it was just entertainment and that I get everything I need from the Bible. So I haven’t watched it again.,For,,"
    0
  ",,8 months ago
RDΣD,"Well, if the Chosen encourages Mormons to go and read the gospels, how could I be against it? It is broadcast on BYUtv now. Of course if the show leaves the true gospel of Christ, switch it off. I keep looking for Mormon influence and as of yet, I don't see it. Time shall tell. I do think Dallas is very wrong about ""worshipping the same Jesus"". The Mormon understanding of Christ is very different. However most Mormon's have never read through the gospels and when they do, they realize they misunderstood Jesus.",Against,,"
    0
  ",,3 months ago
Proto Vici,Whatever happened to the Bible being enough…..,For,,"
    0
  ",,8 months ago
Darren,"The Chosen can be very touching but VERY cheesy at times. A lot of it simply doesn't ring true. It's typical of an unsaved mormon (writer, Dallas Jenkins) to change up Jesus. The Chosen adds to and takes away from the gospel. It glamourizes Christ. Millions are going gaga over a t.v. show that innacurately portrays Jesus' Life! They fail to see the bigger picture: the Chosen presents an all-inclusive Jesus setting the world up to accept the Antichrist.",For,,"
    0
  ",,8 months ago
Keys of the Lord,"I honestly watch and enjoy the Chosen. However, I do think that many people hold a very high view of it. I heard that some people see the face of Jonathan Roumie (the actor of Jesus) when praying to God! If that's the case, stop it, please! That's just disgusting.  Also, I have also found that I enjoy the portrayal of the disciples and Jesus' miracles more than Jesus himself. I don't know if that's just me, but I can be a bit more non-judgmental when considering mortal human beings.",Against,,"
    0
  ",,8 months ago
Promee Sings,Hmmmmm! I won’t waste my time watching the chosen!,For,,"
    0
  ",,5 months ago
Jeffrey Scott Reed,"Dallas Jenkins is very clear that you should read The Bible, this is a no means a substitution for it.  I think this will open the hearts of a lot of people and will open the door for the Holy Spirit to work on convicting them to get into The Bible. I understand your concern and I agree we have to be careful.  I've heard way more blasphemous things from someone trying to read The Bible and then interpret it to a congregation then I have in the chosen so far.",Against,,2,,8 months ago
Jonathas Sucupira,"The chosen is entertainment and not theology.    I much rather watch a tv show produced by a believer than one about crime, fiction, or today's culture.",Against,,"
    0
  ",,8 months ago
VERITAS,"How does this guy believe in ""faith alone"" when the only place the Bible uses ""faith alone"" is when it says ""you see that a person is justified (saved) by works and not by faith alone"".  These are the people who believe the Bible is the sole source of our faith but then don't follow what it says. No wonder Martin Luther tried to remove the book of James all together.",Against,,1,,3 months ago
jan s,"@Wretched I think you're missing the point that The  Chosen has come along in this time, for this generation, which is a movie generation.  Even college profs know that this generation retains more when watching a lecture given on screen than watching a lecture in person.  You can either demand that everyone consume faith-based content the same way that worked for you, or you can expand the thinking to be open to God using new methods for new people.  Are you equally cautious of the millions of Arabs that are seeing Jesus in their dreams and coming to faith?   They haven't read the Bible and may never even get to!  What about all the cultures who have no written word of God?  Is God limited to reach them when they don't even have a formally written language yet?  I say No, God is not limited and He will use anyone willing to offer up their loaves and fish to do His miracles.  Catch the fish and let Him separate them when He's ready.  Many blessings!",Against,,"
    0
  ",,5 months ago
Paul Trosclair,"Anyone can say they are in a Evangelical that means absolutely nothing. I can say I am a potato oh, that doesn't make it true.",Against,,"
    0
  ",,2 months ago
Saul 2Paul,"This guy needs to read scripture, “Every kingdom divided against itself is brought to desolation, and every city or house divided against itself will not stand.” It is also expressed in Mark 3:25: “And if a house is divided against itself, that house cannot stand.” Stop hating!!!",Against,,"
    0
  ",,3 months ago
Jason Moncus #Gundinamo,Yeah it can be tough not to be biased. If it’s not the LSB leading it and every worker is a true Christian from grace to you church then it’s ok. What kinda perfect world do you live in. There aren’t enough Christian’s who actually would do something like that. I think this is another I’m holy they are not message. You guys aren’t ever gonna get it.,Against,,"
    0
  ",,8 months ago
Diane R,"I don’t disagree with anything you have said. But if we know that the show is a fictional rendition… and if it helps draw people in to wanting to know Christ, is it all that bad of a thing? 
The Bible is absolutely sufficient, but if it’s a fictional show and you take it as nothing except a fictional show…. I don’t know. I’m torn.",Against,,1,,8 months ago
Perry Ewell,"Uh, how many ""Jesuses"" are there? One Lord, one Shepherd... and none of us have a full understanding of Him. Could we just pull together to bring people to Him like Dallas and The Chosen team and quit trying to cut others out?",Against,,"
    0
  ",,3 months ago
Jude Peterson,"The early Church pretty unanimously accepted the Catholic deuterocanonical books and never called them apocrypha. Some in the early Church even accepted more, like how Barnabas' epistle quotes Enoch as scripture. The council of Rome in 382 affirmed the 73 book canon that Catholics, Orthodox and many Protestants use. The Council of Florence, a hundred years before the Protestant rebellion reaffirmed those books with the Eastern Churches. Calling those books apocrypha and rejected by the early Church or added by Trent then is just contrary to the facts.",Against,,"
    0
  ",,7 months ago
Dominico,"This is just a movie, same as any other movie about any other historical figure. It neither belongs to cannon of any church nor it is source of validated knowledge for your faith, neither it pretends to be, so it should not be object of our concern or worrying.

This show is rather a fun fact for believers and not some validate source of theological knowledge.

at least that's how I perceive these things.

But this creator should definitely add a note statement at beginning of this show - about such status. For the sake of accuracy and propriety and avoidance of misconceptions.

      Secondarily, what i personally think, for grown believer this show will be only source of confoundation - as was for me, when i used to watch for first time. This show sometimes seemed to me too ridiculous to be true , and i felt confounded, other time emotionally triggered- As this is the purpose of any show - to make you feel that way.

 that's why overall, this show is purely entertaining , and such should be considered this way.

         Now this is your choice if you want to entertain in it - As a believer you should be aware of dangers and you should know what you should do or you should not to do.

You can watch it, enjoy it, ponder it and move on, or you can completely base your spiritual understanding on those images and mix all things up.

         Finally, what I honestly think, entertainment is not something really in line with bible spirit - making movies and after scrupulously eating it, is a stagnate kind of activity in regard to God, God glory, in regard to God will and following Jesus - as man does not live by bread alone - so, in my feeling I don't think it is God's work and that he is behind it.

Still, Books will be always most reliable, and trustworthy source of informational transmission. 

Books are almost completely neutral and devoid of self-praise; the literal word is also most close to spirit; Movies are far more sensory, not as accurate and therefore more unwholesome to spirit and not as reliable as literature.

It is my opinion, what I think about this show - as you see on first part of my comment i do not condemn the show, but also, I do not recommend it.

In my opinion it is for God to judge creator of this show and his aspirations.



Thank you for reading my opinion and have a blessed day.",For,,"
    0
  ",,5 months ago (edited)
Cheryl Christian,"I have watched parts of a couple of episodes, and what I have been bothered by IS the addition/change of the Word of Christ. The words of Christ (The Word) are so precious that it really bothers me to hear others spoken from ""Jesus'"" mouth. Also this jolly, modern Jesus is unsettling. Jesus of the Bible is loving, but strong and kind of parental. He's not your buddy you go to have fun with. The Jesus of ""The Chosen"" seems like a modern guy, a little self-centered and very human. If unbelievers or questioners watch this and want to know more and really come to Christ, then I'm all for it. But it is not something to watch for real knowledge of who Christ is. The answers are in the Bible, not on TV.",For,,"
    0
  ",,3 months ago
Keith Mayhew Hammond,"Roman Catholicism is not a ""works based system"". That is nonsense. The Passion of Christ was hugely influenced by Catholicism, and so are many great Christian content. So that is not really a worry. With this show though, many traditionally minded Catholics take issue with it. But yes, it is concerning that the show is produced and supported by the LDS Church. I couldn't get past the first two episodes because it showed St Peter as someone who was willing to break the Sabbath and betray his fellow Jews for money and even get into fist fights.",For,,"
    0
  ",,6 days ago (edited)
John and Rosario S.,"How about what should be the first reason, that is, the Second Commandment - we are not to make any image of God, or any likeness. I  think there was a reason why Christ came to earth before the invention of photography. Let's hear it for the Iconoclasts!!",For,,1,,7 months ago
Rookie Cookie,"2:06 Which is it? What are we saved by (or through) alone? It can't be all three that we are saved by alone, because then they aren't alone!
How about you quote the Bible and find where it says ""We are saved by faith alone"" because it only says ""Faith alone"" in one place, James, and it has a ""Not by"" before the ""Faith alone"" part. We are saved by faith, and that faith isn't alone.
Grace alone? Grace is presented through Christ alone, but the grace isn't alone, it has Christ. However there is no other name given under heaven by which we must be saved, which is why we are saved through Christ alone. (there is only one place where one of these three ""alones"" is actually mentioned in the Bible, and it is grace presented through ""Christ alone"". We know by Paul and James that ""Faith without works is dead"" and ""What shall we say then? Shall we go on sinning so that grace may abound? By no means!"" So it is obvious that faith is not alone, and grace is not alone, but there is no other name given under heaven by which we must be saved except Christ, so it is through Christ alone that we are saved)

Let me tell you something no one heard Jesus say, ""If you truly love me, you don't have to obey. You can enter the kingdom just by saying 'Lord Lord', and the will of my Father? Just use grace to ignore.""

When Paul tells us that it is by grace through faith that we are saved he tells the truth, but unlike what you believe—grace is presented through Christ alone only to those who present to God a completed faith. A completed faith is not absent of works, lest it be dead. ""I desire mercy, not sacrifice."" and ""I desire obedience, not sacrifice.""
So we can never sacrifice enough to earn salvation, but if God commanded sacrifice from us before he would set aside our sins, would we not have to be obedient to the command? Indeed, we would, for even though ""the blood of bulls and goats can never take away sin"", as the Hebrew writer tells us, the Levites had to sacrifice—because God commanded it.
But God did not accept every sacrifice, a sacrifice of bulls and goats given by a hypocrite would not be accepted by God, God desired sacrifice of thanksgiving. If his people pay heed to the weightier matters of the law, he would accept their sacrifice of bulls and goats and fulfill his covenant with them, setting aside their sins until that day when he provided the sacrifice for sins. On that day Jesus, who had fulfilled all the law and the prophets, was made the sacrifice for sins—the only sacrifice that can truly take away sins, for ""who can forgive sins but God alone?"" He has done it!
Nevertheless, sacrifice was never what took away the sins of the people of Israel, it simply set aside their sins until the law could be fulfilled. God forgave sins, and forgives sins today, but not for anyone. He forgives the sins of those who first do not forget the weightier matters of the law, (Love, faithfulness, kindness, righteousness. Lovers of God, and not lovers of self) and then are obedient to him. This is why Peter tells us by the Spirit, ""Repent and be baptized, every one of you, in the name of Jesus Christ for the forgiveness of your sins, and you will receive the gift of the Holy Spirit.""
Repent! Turn aside from every evil way and love the Lord your God with all your heart. However, this is where the Devil has tricked so many. He says that repentance is enough, that telling God ""I will do your will"" and then becoming a ""Better person"" by living a good life is all God wants, and ignores the instructions given by Peter, and preached by Paul.
""You should have practiced the latter, without neglecting the former!""
You practice the weightier matters, but ignore the sacrifice of God by neglecting the command of obedience given to us to accept salvation—you refuse to dip in the Jordon seven times because ""I thought he would simply wave his hand over me, and I would be healed.""
You have neglected to accept the sacrifice, and you tell those who would accept the sacrifice of Christ, who desire to follow Peter's instruction ""and be baptized, every one of you, in the name of Jesus Christ for the forgiveness of your sins,"" that if they are baptized for the reason Peter states, they will be hell bound for trying to earn salvation.
You hypocrite! If you dip because you believe the waters cleanse you, then you haven't comprehended the whole purpose of the law and the prophets. If you dip ""in the name of Jesus Christ, for the forgiveness of your sins,"" then you are not sacrificing anything! You aren't looking for a salvation of ""works"" if you are being obedient to the command! Christ cleanses us, but if we say ""I thought he would simply wave his hand over me and I would be clean"" are we not being proud and disobedient? Let God have mercy on whom he will have mercy, but you, work out your own salvation with fear and trembling.
Know this, if Naaman had told Elisha, ""I know that baptism cannot heal my leprosy, come out and wave your hand over me and make me clean."" I tell you the truth, though acknowledging the power of the God of Israel, he would have been ignoring the authority of the Most High God by speaking in this way. He would never have been healed.
Yet you not only ignore the teachings of God for yourself, but you teach falsely to others, and condemn those who would seek and teach truth as God has commanded!
If we are baptized we are not baptized to be divided, we are baptized because ""Baptism, which corresponds to this, now saves you."" and ""For all of us who have been baptized into Christ have put on Christ.""
""Now why do you wait? Arise and be baptized, washing away your sins, calling on his name.""

Paul did not come to baptize, because baptism given by the apostles was no more significant that baptism given by the weakest brother. Paul came to preach the truth, and he never neglected to teach baptism. Entire families were baptized the very night Paul spoke to them, because there was urgency. We must be born again of both water and spirit, or we will never enter the kingdom of heaven.
Nevertheless, I pray that God would have mercy on those who have been sincerely deceived to reject the priestly garments, to refuse to put on the wedding clothes, who never put on Christ, because they were sincerely deceived. But as for you and me? Let us each work out our own salvation with fear and trembling, and seek to, by any means possible, obtain the life and glory of Christ.

Jesus is Lord. Amen!",Drop,,"
    0
  ",,7 months ago
Steve M,This is the problem with Christianity and all religions in general.,Against,,1,,8 months ago
PaulNoLack,"The Bible doesn’t say faith ALONE; the alone was added by Martin Luther; it does say you are saved by Faith apart from the WORKS OF THE LAW. This is what Catholics believe. Catholics believe in Grace alone better than Protestants do, as Protestantism teaches a false grace in which you are completely filled with grace 100% of the time; if this was true, than no true Christian would EVER sin, as they would be too filled with grace to commit error. Finally, Catholicism teaches that Christ IS THE ONLY way to heaven.",Against,,"
    0
  ",,7 months ago
Josh Stucki,"Like all manmade things, it has its flaws, including English Bible translations. 
Adults need to be able to watch things like the Chosen (or read a different Bible translation) and judge it for themselves. Excuses like the Holy Spirit kept me away from this are unfalsifiable.
Those who've never seen it - don't be surprised when people seeking because of something like this are turned off by your judgmentalism.
Sure, point out its flaws. That should be done. But throwing away the baby with the bathwater is the mistake here.",Against,,"
    0
  ",,5 months ago
ShiftyLizardStore,"Evangelical is a meaningless term now, John MacArthur, Ron Bell and Andy Stanley all claim the title.",Against,,"
    0
  ",,8 months ago
ttthttpd,"Catholicism, unorthodox sect ... I think you just broke my irony meter.  

The denomination reeponsible for picking which books are canonical, who (AFAIK) invented the concept of trying heretics (heterodox believers), half of the great schism (the other half literally called Orthodox), and of inquisition infamy (which still exists btw) are unorthodox?",Against,,"
    0
  ",,8 months ago
Bill Zimmerman,Yes.  They do believe in the same Jesus..But not the real Jesus of the Bible..,Against,,"
    0
  ",,4 months ago
Christopher Chavez,"It really is just Jesus fan-fiction. Never sat well with me, which is why I — despite all my church friends raving about the show — have CHOSEN to avoid it.",For,,"
    0
  ",,7 months ago
John Cassidy,"The Gospels are a record, not a dramatization. It is impossible for a record (so that we may believe) to be as evocative as a dramatization. As a basis, the average modern American reader lacks the context of customs and idioms that the Gospels take as obvious to its contemporary readers. The historical context can flesh things out and  dramatization can bring to mind things that the record simply leaves out as understood. 

Also, I think you commit a flagrant mischaracterization of what Jenkins said specifying the stories of Jesus, when you widened it to a general agreement ""about Jesus"". I think there is a reason that Jenkins answered that the stories are universal, even if what you take from the layout of the story is different. In the Gospels Jesus withers a fig tree. If a dramatization depicts that action, it has represented the Gospel. In the Gospels, Jesus does not explain how the fig tree is the traditional symbol of Judaism and how Jesus is illustrating that the time of Israel as God's instrument is over because his hour is imminent. But a dramatization can explain that. Specifically by putting words into Jesus' (or disciples' mouths)  that is not in the record of that event. The text of Matthew actually makes it about Jesus being hungry and how with faith you can perform this miracle as well. And that telling kind of makes Jesus a little more spontaneous. But a dramatization can illustrate a theological theme of what it means for Jesus to be ""hungry"" so that he wants fruit from the tree that represents Israel. And that would be by adding theological context--that Matthew does not explicitly contain. If we just need to add a scene around that incident to reveal the reason the Holy Spirit has chosen this incident, which wasn't simply cut out as one of the ""many other signs and wonders"" of Jesus. 

Mark even adds ""When he reached it, he found nothing but leaves, because it was not the season for figs."" So it's not even about a reasonable expectation of getting figs to satisfy Jesus's hunger. You could not get the same reaction out of the text of the story in Matthew in Mark as you could an elucidating scene. Jesus couldn't expect any figs from the tree, so is it just the case of Jesus flexing? Or did he want to fix an image into the minds of the 12? 

Now, even if one lacks that particular theological explanation to it, you can present the story according to the Gospels with no further comment, and allow people to come away with their own conclusions, and you still have been faithful to the _story_. You can't equate the presentation of the story for the interpretation of the context of the story. Scripture is actually more enigmatic in the story of the fig tree, and both Matthew and Mark both contain the simple case that Jesus was simply hungry, because those were likely the words he used. 

One of my favorite episodes so far was the episode on Nathaniel (and for some odd reason, I was waiting for that one). And I've read dozens of times that Jesus says that he saw Nathaniel underneath the tree praying. And in that simple exchange in the Gospels, Jesus says he saw Nathaniel under the tree and Nathaniel is astounded and commits himself to Jesus. End of ""story"". I could not have had the same emotional reaction to that in the Bible as I did the context that Jenkin's story puts around it. But because I know scripture reasonably well, I know what was true to the vignette and what was put there to evoke the significance in Nathaniel's life, which we just take as read in the Gospel. That must have impressed Nathaniel, who doubted that anything good can come from Nazareth previously, but the Bible never illustrates exactly why.",Against,,"
    0
  ",,6 months ago
It’s The Humidity Y’all,Blasphemy. That’s all you need to know about this show.,For,,1,,8 months ago
Amanda Turner,"The guy that plays Jesus has also been made a Knights Templar, makes pilgrimages to visit relics. He and Dallas Jenkins also both met with the Pope.
The Chosen is pure blasphemy.
Dangerous stuff.",For,,1,,5 months ago
Roper Kerby,Stickler.,Against,,"
    0
  ",,7 months ago
Jo Howell,"His argument of ""do you really want to consume a show that portrays a Jesus that doesn't offend roman Catholics and Mormons"" is completely bogus because by that standard we would have to throw out the Bible which is a/the Holy text of both those groups.",Against,,"
    0
  ",,8 months ago
Tausha the Tech,"It also depicts Jesus in an emotional way that he may have not been like. It hasn't been biblically accurate.thats offensive to God as he commands us to worship him in spirit and in truth and I think this is what most Christians, who defend the chosen, do not grasp. I was never interested in watching it because I want the Holy spirit illuminating the biblically accurate story of Jesus and not someone else's interpretation. Turns out I was right by that",For,,"
    0
  ",,8 months ago
id77,Never seen it,For,,"
    0
  ",,8 months ago
Steven Miller,"This website can come across as HOLIER  THAN THOU at times and this should be a caution to the WEBSITE.

Christians should definitely be wary of things and judge a tree for its fruits like Jesus Commands.  That said Jesus and God has often used very sinful people for his work, and we all must recognize we are all sinners and in need of Jesus!  

It bothers me when Christianity and Christian content becomes IM RIGHT and YOUR WRONG all the time!!

That said, it does concern me about the Concessions of the CHOSEN with LDS Church.   The 3 BOOKS the LDS adds are dangerous as the BIBLE is GODS word and is sufficient!!  The LDS has LEVELS to their CHURCH and this is perhaps the most troubling.  Gods kingdom in heaven isn't earned through any Works and we are ALL ON THE SAME LEVEL as believers.  Also the LDS has some bizarre beliefs about JESUS and this makes them a CULT.  I love MORMON families and Family Life,  but their THEOLOGY is flawed for sure...",Against,,"
    0
  ",,1 month ago
Ronald Schoolcraft,It most certainly IS NOT the same Jesus.,For,,"
    0
  ",,8 months ago
Ashla Vanadis,This is silly. If you want a Bible study read the Bible. This is not a scholarly examination of theology.  It is meant to bring to life characters that we otherwise would not have seen interview Christ through the eyes of his apostles and those who encountered Him. It is written and produced from an evangelical perspective. The Pharisaical pearl-clutching in this video is epic. I watched all of both seasons and there is no theology outside of evangelical Christianity that’s getting in here.,Against,,"
    0
  ",,8 months ago (edited)
garywg9,The Chosen is not about Jesus per se it is about those who Jesus chose to experience his ministry with.  And it is a dramatiztion of a possible relationship he may have had with them.  Of course it is not scriptural it is pure fiction.  It makes no claim to be a substitute for the actual Bible.  To say it is a sin to enjoy it is saying it is sin to view any fiction.,Against,,"
    0
  ",,4 months ago
snowman,It is not meant to replace the Bible that's why there is a disclaimer at the beginning advising you to the read the gospels,Against,,"
    0
  ",,8 months ago
Kevin Walters,"Mr. Friel, you are wrong about Catholic's following a different Jesus.  They worship the same Jesus I do.  They are just grievously sidetracked by man-inspired dogma.

And the Chosen?  No one has said it's dogma--it's entertainment.  Entertainment that's causing many unsaved to look into a Bible for the first time ever.",Against,,"
    0
  ",,8 months ago (edited)
Barrick,If they knew they weren’t the words of Jesus why do the apostles quote them?,Against,,"
    0
  ",,6 months ago
RisingDawn,If you’re a reformed Christian you shouldn’t even tolerate depictions of the Lord Jesus.,Against,,"
    0
  ",,8 months ago
M. Webb,"I started watching the Chosen. It kinda lost me when Jesus calls his mother 'mother' and the Bible says he called her woman. There is also a scene when Jesus was young and his father says, ""what should we do about your transgression?"" when Jesus was teaching at the temple.",For,,1,,8 months ago
"
              Near 2 Infinity
            ",Jesus is God. John 8:58,For,,"
    0
  ",,8 months ago (edited)
GhostTheProgram,"Catholicism is not a work based system
Like that's a fundamental misunderstanding of what exactly is believed",Against,,"
    0
  ",,8 months ago
Nutei Vuite,He's not mormonnnn,Against,,"
    0
  ",,5 months ago
Knutty Entertainment,Funny how everything he said about Mormonism and Latter-Day Saints was wrong. We don’t believe in a works-based salvation or that Jesus was a created being. Guy’s clearly never really talked to a Latter-Day Saint.,Against,,"
    0
  ",,8 months ago
Joseph Duncan,"Very sad to see a ""believer"" show so much hatred for fellow Christians in other sects. The Chosen is an uplifting Christian show. Obviously, it is not a substitute for reading the scriptures, but it does invite people to learn more about Christ. What could be more Christian?",Against,,"
    0
  ",,5 months ago (edited)
Some Medic,The attitude in this video seems to me like the same attitude that the Pharisees had towards Jesus.,Against,,"
    0
  ",,20 hours ago
Keto and The Kingdom,The Chosen has had me going back to Scripture more than one time. Disagree.,Against,,1,,8 months ago
Dre Kevin,"Do you really not see your contradiction in this video haha? After talking about how the written words in scripture are all we need...Todd: ""If you watch The Chosen because it helps you to learn about or love Jesus more, you're consuming an authorized source."" Also this guy: ""(Read MY book cause ""it will reveal Jesus"") ...it will stir you and it will make you love Jesus more."" Yikes my dude haha.",Against,,"
    0
  ",,5 months ago
Larry Moore,"Dallas Jenkins has said that this show (the chosen) presents the 'authentic Jesus'.  Jesus spoke with authority John 14:6~ ""I Am the way, the truth and the life, no one comes to the Father but through Me.""  However, I have seen the fake timid Jesus of 'the chosen' twice say, ""maybe there can be 'A' way to heaven."" Beware of the subtleties of multi-cultural religiosity that is afraid of offending the Mormons, Catholics, Muslims Buddhists etc.    Jesus is GOD, not A way, but THE only way. 
Proverbs 30:5-6 ~ Every word of God is pure; He is a shield to those who take refuge in Him. Do not add to His words or He will rebuke you, and you will be proved a liar.",For,,"
    0
  ",,2 months ago
Godzzpeed,"Wow, thanks
Not watching it then.",For,,"
    0
  ",,8 months ago
